stay_id,pet_id,check_in,check_out,daily_rate,grooming,total_cost,status
1,1,2026-01-05,2026-01-10,45.00,1,225.00,Completed
2,2,2026-01-12,2026-01-15,40.00,0,120.00,Completed
3,3,2026-01-20,2026-01-25,55.00,1,275.00,Completed
4,4,2026-02-01,2026-02-03,38.00,0,76.00,Completed
5,5,2026-02-10,2026-02-17,50.00,1,350.00,Completed
6,6,2026-02-20,2026-02-23,42.00,0,126.00,Completed
7,7,2026-03-01,2026-03-04,37.00,0,111.00,Completed
8,8,2026-03-05,2026-03-10,48.00,1,240.00,Completed
9,9,2026-03-12,2026-03-18,46.00,0,276.00,Completed
10,10,2026-03-20,2026-03-25,52.00,1,260.00,Completed
11,11,2026-04-01,,40.00,0,,In Progress
12,12,2026-04-03,,39.00,0,,In Progress
13,13,2026-04-05,2026-07-01,50.00,1,,In Progress
14,14,2026-04-10,2026-04-12,36.00,0,72.00,Completed
15,15,2026-04-15,2026-04-20,47.00,1,235.00,Completed
16,16,2026-04-18,,41.00,0,,In Progress
17,17,2026-04-20,2026-08-15,53.00,1,,In Progress
18,18,2026-04-22,2026-04-24,38.00,0,76.00,Completed
19,19,2026-04-25,2026-04-28,45.00,1,135.00,Completed
20,20,2026-04-30,,44.00,0,,In Progress
21,3,2026-05-01,2026-05-05,55.00,1,275.00,Completed
22,7,2026-05-02,2026-05-04,37.00,0,74.00,Completed
23,12,2026-05-03,,39.00,0,,In Progress
24,15,2026-05-05,2026-05-10,47.00,1,235.00,Completed
25,18,2026-05-06,2026-05-08,38.00,0,76.00,Completed
26,1,2026-05-10,2026-05-15,45.00,1,225.00,Completed
27,4,2026-05-12,2026-05-14,38.00,0,76.00,Completed
28,6,2026-05-15,,42.00,0,,In Progress
29,9,2026-05-18,2026-05-22,46.00,0,184.00,Completed
30,11,2026-05-20,2026-09-01,40.00,0,,In Progress
31,2,2026-05-25,2026-05-28,40.00,0,120.00,Completed
32,5,2026-05-26,2026-05-30,50.00,1,250.00,Completed
33,8,2026-05-28,2026-06-02,48.00,1,240.00,Completed
34,10,2026-06-01,,52.00,1,,In Progress
35,13,2026-06-03,2026-06-10,50.00,1,350.00,Completed
36,16,2026-06-05,,41.00,0,,In Progress
37,19,2026-06-07,2026-06-09,45.00,1,90.00,Completed
38,20,2026-06-10,2026-06-12,44.00,0,88.00,Completed
39,14,2026-06-12,2026-06-14,36.00,0,72.00,Completed
40,17,2026-06-14,2026-10-01,53.00,1,,In Progress
41,3,2026-06-15,2026-06-20,55.00,1,275.00,Completed
42,7,2026-06-18,,37.00,0,,In Progress
43,12,2026-06-20,2026-06-25,39.00,0,195.00,Completed
44,15,2026-06-22,2026-06-27,47.00,1,235.00,Completed
45,18,2026-06-25,,38.00,0,,In Progress
46,1,2026-06-26,2026-06-29,45.00,1,135.00,Completed
47,4,2026-06-27,2026-06-30,38.00,0,114.00,Completed
48,6,2026-06-28,2026-07-02,42.00,0,168.00,Completed
49,9,2026-06-29,,46.00,0,,In Progress
50,11,2026-07-01,2026-11-01,40.00,0,,In Progress
