pet_id,owner_id,name,species,age,notes
1,1,Buddy,Dog,5,Loves fetch
2,1,Luna,Cat,3,Shy around strangers
3,2,Rocky,Dog,7,Needs joint supplements
4,2,Willow,Rabbit,2,Very calm
5,3,Max,Dog,4,High energy
6,3,Shadow,Cat,6,Prefers quiet spaces
7,4,Bella,Dog,8,Senior dog
8,5,Charlie,Dog,3,Very friendly
9,5,Peanut,Rabbit,1,Timid but sweet
10,6,Milo,Cat,4,Indoor only
11,6,Harley,Dog,2,Still in training
12,7,Zoey,Dog,9,Older but active
13,8,Simba,Cat,5,Loves climbing
14,8,Chico,Bird,2,Loud chirper
15,9,Oscar,Dog,10,Senior with meds
16,10,Nala,Cat,3,Playful
17,11,Cooper,Dog,6,Good with kids
18,11,Maple,Rabbit,2,Loves carrots
19,12,Stella,Dog,4,Very social
20,12,Blue,Reptile,1,Needs heat lamp
21,13,Jack,Dog,7,Protective
22,14,Ruby,Cat,5,Independent
23,14,Sunny,Bird,3,Talkative
24,15,Moose,Dog,2,Strong puller
25,16,Piper,Cat,4,Curious
26,16,Dash,Dog,1,Very energetic
27,17,Marley,Dog,8,Calm temperament
28,17,Kiwi,Bird,2,Colorful feathers
29,18,Leo,Cat,6,Prefers warm spots
30,19,Bruno,Dog,5,Food motivated
31,19,Clover,Rabbit,3,Soft fur
32,20,Skye,Dog,4,Loves running
33,20,Indigo,Reptile,2,Docile
34,4,Juniper,Cat,1,Newly adopted
35,7,Atlas,Dog,3,Strong and playful
36,10,Marshmallow,Rabbit,2,Very fluffy
37,13,Zeus,Dog,9,Large breed
38,15,Peaches,Cat,7,Loves naps
39,18,Storm,Dog,4,Anxious around noise
40,20,Olive,Cat,3,Quiet and sweet
