stay_id,pet_id,check_in,check_out,daily_rate,grooming,total_cost,status
1,1,2026-03-10,2026-03-15,40,1,240,Completed
2,1,2026-04-05,2026-04-10,42,0,210,Completed
3,1,2026-05-20,2026-05-25,40,1,240,Completed
4,1,2026-05-28,,45,0,,In Progress
5,2,2026-02-01,2026-02-05,32,0,128,Completed
6,2,2026-03-12,2026-03-17,34,1,210,Completed
7,2,2026-04-10,2026-04-15,32,0,160,Completed
8,3,2026-01-20,2026-01-25,50,1,290,Completed
9,3,2026-03-01,2026-03-06,48,0,240,Completed
10,3,2026-05-01,2026-05-05,50,1,290,Completed
11,3,2026-05-20,,55,0,,In Progress
12,4,2026-02-15,2026-02-20,28,0,140,Completed
13,4,2026-03-12,2026-03-18,28,0,168,Completed
14,4,2026-04-22,2026-04-27,30,1,190,Completed
15,5,2026-01-10,2026-01-14,42,1,208,Completed
16,5,2026-03-05,2026-03-10,44,0,220,Completed
17,5,2026-04-22,2026-04-28,42,1,292,Completed
18,5,2026-05-15,2026-05-20,42,0,210,Completed
19,6,2026-02-01,2026-02-04,35,0,105,Completed
20,6,2026-03-10,2026-03-14,36,1,184,Completed
21,6,2026-05-10,2026-05-14,35,0,140,Completed
22,6,2026-05-30,,38,1,,In Progress
23,7,2026-01-05,2026-01-10,30,0,150,Completed
24,7,2026-02-01,2026-02-06,30,0,150,Completed
25,7,2026-04-10,2026-04-15,32,1,200,Completed
26,8,2026-03-12,2026-03-16,45,0,180,Completed
27,8,2026-04-20,2026-04-25,45,1,265,Completed
28,8,2026-05-18,2026-05-22,45,1,260,Completed
29,8,2026-05-29,,45,0,,In Progress
30,9,2026-02-10,2026-02-14,27,0,108,Completed
31,9,2026-03-18,2026-03-23,29,1,185,Completed
32,9,2026-04-05,2026-04-10,27,0,135,Completed
33,10,2026-03-01,2026-03-04,33,0,99,Completed
34,10,2026-04-10,2026-04-13,33,1,139,Completed
35,10,2026-05-01,2026-05-03,33,0,66,Completed
36,10,2026-05-25,,33,1,,In Progress
37,11,2026-01-15,2026-01-20,50,1,290,Completed
38,11,2026-02-22,2026-02-27,48,0,240,Completed
39,11,2026-03-15,2026-03-20,50,1,290,Completed
40,12,2026-03-10,2026-03-14,48,0,192,Completed
41,12,2026-04-18,2026-04-22,48,1,232,Completed
42,12,2026-05-10,2026-05-15,48,0,240,Completed
43,12,2026-05-28,,48,0,,In Progress
44,13,2026-02-01,2026-02-05,29,0,116,Completed
45,13,2026-03-10,2026-03-15,29,1,185,Completed
46,13,2026-04-01,2026-04-06,29,0,145,Completed
47,14,2026-03-12,2026-03-16,26,0,104,Completed
48,14,2026-04-10,2026-04-14,26,1,144,Completed
49,14,2026-05-12,2026-05-16,26,0,104,Completed
50,15,2026-02-20,2026-02-25,55,1,315,Completed
51,15,2026-04-01,2026-04-05,55,0,220,Completed
52,15,2026-05-20,2026-05-23,55,1,205,Completed
53,16,2026-03-01,2026-03-04,34,0,102,Completed
54,16,2026-04-15,2026-04-18,34,1,142,Completed
55,16,2026-05-18,2026-05-21,34,0,102,Completed
56,16,2026-05-30,,34,0,,In Progress
57,17,2026-01-10,2026-01-14,40,0,160,Completed
58,17,2026-02-20,2026-02-25,40,1,240,Completed
59,17,2026-03-10,2026-03-14,40,0,160,Completed
60,18,2026-02-05,2026-02-09,25,0,100,Completed
61,18,2026-03-22,2026-03-27,25,1,165,Completed
62,18,2026-04-22,2026-04-27,25,0,125,Completed
63,19,2026-03-01,2026-03-05,52,1,300,Completed
64,19,2026-04-10,2026-04-15,52,0,260,Completed
65,19,2026-05-05,2026-05-10,52,1,300,Completed
66,19,2026-05-29,,52,0,,In Progress
67,20,2026-01-15,2026-01-20,30,0,150,Completed
68,20,2026-02-15,2026-02-20,30,0,150,Completed
69,20,2026-04-01,2026-04-05,32,1,168,Completed
70,21,2026-03-10,2026-03-14,44,1,216,Completed
71,21,2026-04-20,2026-04-24,44,0,176,Completed
72,21,2026-05-01,2026-05-04,44,1,172,Completed
73,22,2026-02-01,2026-02-05,31,0,124,Completed
74,22,2026-03-12,2026-03-16,31,1,171,Completed
75,22,2026-04-10,2026-04-14,31,0,124,Completed
76,23,2026-03-01,2026-03-05,28,0,112,Completed
77,23,2026-04-12,2026-04-16,28,1,152,Completed
78,23,2026-05-12,2026-05-17,28,0,140,Completed
79,24,2026-03-20,2026-03-25,50,1,290,Completed
80,24,2026-04-15,2026-04-20,50,0,250,Completed
81,24,2026-05-20,2026-05-25,50,1,290,Completed
82,24,2026-05-30,,50,0,,In Progress
83,25,2026-02-10,2026-02-14,29,0,116,Completed
84,25,2026-03-01,2026-03-05,29,0,116,Completed
85,25,2026-04-10,2026-04-14,29,1,176,Completed
86,26,2026-03-12,2026-03-16,41,1,244,Completed
87,26,2026-04-10,2026-04-14,41,0,164,Completed
88,26,2026-05-10,2026-05-13,41,1,203,Completed
89,26,2026-05-29,,41,0,,In Progress
90,27,2026-02-01,2026-02-05,38,0,152,Completed
91,27,2026-03-15,2026-03-20,38,1,230,Completed
92,27,2026-04-15,2026-04-20,38,0,190,Completed
93,28,2026-03-10,2026-03-14,26,0,104,Completed
94,28,2026-04-01,2026-04-05,26,1,144,Completed
95,28,2026-05-01,2026-05-06,26,0,130,Completed
96,29,2026-03-20,2026-03-24,33,0,132,Completed
97,29,2026-04-18,2026-04-22,33,1,172,Completed
98,29,2026-05-18,2026-05-22,33,0,132,Completed
99,29,2026-05-30,,33,1,,In Progress
100,30,2026-02-10,2026-02-15,47,1,275,Completed
101,30,2026-03-20,2026-03-25,47,0,235,Completed
102,30,2026-04-10,2026-04-15,47,1,275,Completed
103,31,2026-03-01,2026-03-05,28,0,112,Completed
104,31,2026-04-10,2026-04-14,28,1,152,Completed
105,31,2026-05-05,2026-05-09,28,0,112,Completed
106,32,2026-03-12,2026-03-16,52,0,208,Completed
107,32,2026-04-15,2026-04-20,52,1,300,Completed
108,32,2026-05-12,2026-05-17,52,0,260,Completed
109,32,2026-05-29,,52,0,,In Progress
110,33,2026-02-01,2026-02-05,30,0,120,Completed
111,33,2026-03-10,2026-03-15,30,1,190,Completed
112,33,2026-03-20,2026-03-25,30,0,150,Completed
113,34,2026-04-01,2026-04-04,27,0,81,Completed
114,34,2026-05-01,2026-05-04,27,0,81,Completed
115,35,2026-03-10,2026-03-14,49,1,286,Completed
116,35,2026-04-10,2026-04-14,49,0,196,Completed
117,36,2026-02-20,2026-02-24,25,0,100,Completed
118,36,2026-04-22,2026-04-26,25,0,100,Completed
119,37,2026-03-15,2026-03-20,55,1,315,Completed
120,37,2026-05-15,2026-05-20,55,1,315,Completed
